CPU	 1	 0.033325
CPU	 3	 0.05
CPU	 5	 0.033325
CPU	 7	 0.05
CPU	 9	 0.03335
CPU	 11	 0.05
CPU	 13	 0.033325
CPU	 15	 0.033325
CPU	 17	 0.033325
CPU	 19	 0.05
CPU	 21	 0.05
CPU	 23	 0.033325
CPU	 25	 0.033325
CPU	 27	 0.033325
CPU	 29	 0.033325
CPU	 31	 0.05
CPU	 33	 0.033325
CPU	 35	 0.03335
CPU	 37	 0.03335
CPU	 39	 0.033325
CPU	 41	 0.05
CPU	 43	 0.05
CPU	 45	 0.05
CPU	 47	 0.05
CPU	 49	 0.05
IO	 0	 47.3
IO	 2	 47.2833
IO	 4	 47.25
IO	 6	 47.2334
IO	 8	 47.2
IO	 10	 47.1833
IO	 12	 47.15
IO	 14	 47.1166
IO	 16	 47.0833
IO	 18	 47.0333
IO	 20	 47
IO	 22	 46.9333
IO	 24	 46.9
IO	 26	 46.85
IO	 28	 46.8167
IO	 30	 46.75
IO	 32	 46.7167
IO	 34	 46.65
IO	 36	 46.6166
IO	 38	 46.55
IO	 40	 46.4833
IO	 42	 46.4166
IO	 44	 46.35
IO	 46	 46.3
IO	 48	 46.2333
