CPU	 1	 0.05
CPU	 3	 0.033325
IO	 12	 1.85
IO	 16	 1.86668
CPU	 23	 0.033325
IO	 8	 3.75
IO	 10	 3.75
CPU	 5	 0.033325
CPU	 11	 0.06665
CPU	 19	 0.11665
CPU	 21	 0.15
CPU	 13	 0.033325
IO	 24	 6.86667
IO	 26	 1.86665
CPU	 27	 0.033325
CPU	 7	 0.033325
CPU	 9	 0.06665
IO	 6	 1.86668
IO	 2	 1.85
CPU	 17	 0.033325
CPU	 25	 0.03335
IO	 0	 23.0667
IO	 20	 19.2833
IO	 14	 18.8
CPU	 43	 0.033325
IO	 28	 16.9833
IO	 46	 1.91667
CPU	 33	 0.033325
CPU	 41	 0.033325
IO	 34	 10.0833
CPU	 15	 0.03335
CPU	 39	 0.033325
CPU	 45	 0.06665
IO	 22	 17.9333
IO	 36	 12.5167
IO	 40	 3.5
CPU	 29	 0.033325
CPU	 35	 0.083325
CPU	 47	 0.133325
IO	 44	 7.68332
IO	 38	 18.25
IO	 18	 38.9833
CPU	 37	 0.03335
IO	 42	 5.71665
CPU	 49	 0.033325
IO	 32	 21.1166
IO	 30	 22.3166
IO	 48	 2.61667
CPU	 31	 0.033325
IO	 4	 30.2
