CPU	 1	 17.85
CPU	 23	 16.4333
CPU	 21	 16.5667
CPU	 19	 16.6833
CPU	 17	 16.8333
CPU	 15	 16.9667
CPU	 13	 17.1167
CPU	 11	 17.25
CPU	 9	 17.4
CPU	 7	 17.5
CPU	 5	 17.6167
CPU	 3	 17.7333
CPU	 25	 20.2667
CPU	 27	 17.7167
CPU	 29	 17.55
CPU	 31	 17.4333
CPU	 33	 17.3333
CPU	 35	 17.2833
CPU	 37	 17.1333
CPU	 39	 17
CPU	 41	 16.8834
CPU	 43	 16.7333
CPU	 45	 16.5667
CPU	 47	 20.2667
CPU	 49	 21.9167
CPU	 51	 21.7167
CPU	 53	 18.45
CPU	 55	 18.2334
CPU	 57	 18.0167
CPU	 59	 17.8333
CPU	 61	 17.6
CPU	 63	 22.4833
CPU	 65	 19.5
CPU	 67	 19.2666
CPU	 69	 19.05
CPU	 71	 18.8167
CPU	 73	 18.6166
CPU	 75	 18.3833
CPU	 77	 20.2833
CPU	 79	 17.1834
CPU	 81	 16.9834
CPU	 83	 16.7333
CPU	 85	 16.5
CPU	 87	 16.3166
CPU	 89	 16.0833
CPU	 91	 20.25
CPU	 93	 16.1333
CPU	 95	 15.8833
CPU	 97	 20.3333
CPU	 99	 16.4
IO	 0	 1046.63
IO	 2	 1046.47
IO	 4	 1046.3
IO	 6	 1046.13
IO	 8	 1046
IO	 10	 1045.82
IO	 12	 1045.65
IO	 14	 1045.47
IO	 16	 1045.3
IO	 18	 1045.13
IO	 20	 1044.95
IO	 22	 1044.75
IO	 24	 1044.57
IO	 26	 1041.97
IO	 28	 1041.78
IO	 30	 1041.57
IO	 32	 1041.38
IO	 34	 1041.18
IO	 36	 1040.97
IO	 38	 1040.75
IO	 40	 1040.53
IO	 42	 1040.28
IO	 44	 1040.05
IO	 46	 1039.82
IO	 48	 1035.02
IO	 50	 1034.78
IO	 52	 1029.6
IO	 54	 1025.85
IO	 56	 1025.6
IO	 58	 1025.35
IO	 60	 1025.1
IO	 62	 1024.83
IO	 64	 1021.78
IO	 66	 1021.52
IO	 68	 1021.23
IO	 70	 1020.97
IO	 72	 1020.68
IO	 74	 1020.42
IO	 76	 1020.13
IO	 78	 1016.95
IO	 80	 1016.7
IO	 82	 1016.38
IO	 84	 1016.07
IO	 86	 1015.77
IO	 88	 1015.43
IO	 90	 1015.12
IO	 92	 1010.88
IO	 94	 1010.57
IO	 96	 1010.22
IO	 98	 1006.2
