CPU	 1	 0.033325
CPU	 3	 0.05
CPU	 5	 0.03335
CPU	 7	 0.03335
CPU	 9	 0.033325
CPU	 11	 0.033325
CPU	 13	 0.033325
CPU	 15	 0.05
CPU	 17	 0.033325
CPU	 19	 0.033325
CPU	 21	 0.05
CPU	 23	 0.033325
CPU	 25	 0.033325
CPU	 27	 0.05
CPU	 29	 0.03335
CPU	 31	 0.03335
CPU	 33	 0.05
CPU	 35	 0.033325
CPU	 37	 0.033325
CPU	 39	 0.03335
CPU	 41	 0.05
CPU	 43	 0.033325
CPU	 45	 0.033325
CPU	 47	 0.05
CPU	 49	 0.05
IO	 0	 48.45
IO	 2	 48.4333
IO	 4	 48.4
IO	 6	 48.3667
IO	 8	 48.35
IO	 10	 48.3333
IO	 12	 48.3167
IO	 14	 48.2667
IO	 16	 48.2334
IO	 18	 48.1833
IO	 20	 48.15
IO	 22	 48.1
IO	 24	 48.0667
IO	 26	 48.0333
IO	 28	 47.9667
IO	 30	 47.9333
IO	 32	 47.8667
IO	 34	 47.8167
IO	 36	 47.7667
IO	 38	 47.7
IO	 40	 47.65
IO	 42	 47.5834
IO	 44	 47.5167
IO	 46	 47.4833
IO	 48	 47.4166
