CPU	 1	 0.05
CPU	 3	 0.033325
CPU	 5	 0.05
CPU	 7	 0.03335
CPU	 9	 0.03335
CPU	 11	 0.05
CPU	 13	 0.033325
CPU	 15	 0.033325
CPU	 17	 0.05
CPU	 19	 0.033325
CPU	 21	 0.05
CPU	 23	 0.05
CPU	 25	 0.03335
CPU	 27	 0.05
CPU	 29	 0.033325
CPU	 31	 0.033325
CPU	 33	 0.05
CPU	 35	 0.05
CPU	 37	 0.03335
CPU	 39	 0.05
CPU	 41	 0.05
CPU	 43	 0.05
CPU	 45	 0.033325
CPU	 47	 0.03335
CPU	 49	 0.05
CPU	 51	 0.05
CPU	 53	 0.033325
CPU	 55	 0.05
CPU	 57	 0.033325
CPU	 59	 0.05
CPU	 61	 0.033325
CPU	 63	 0.05
CPU	 65	 0.05
CPU	 67	 0.05
CPU	 69	 0.05
CPU	 71	 0.033325
CPU	 73	 0.05
CPU	 75	 0.05
CPU	 77	 0.05
CPU	 79	 0.05
CPU	 81	 0.05
CPU	 83	 0.05
CPU	 85	 0.05
CPU	 87	 0.05
CPU	 89	 0.05
CPU	 91	 0.05
CPU	 93	 0.066675
CPU	 95	 0.066675
CPU	 97	 0.03335
CPU	 99	 0.05
